Iter Vrad Vrot Dist Av EEP initial_[Fe/H] initial_[a/Fe] initial_Mass pc_0 pc_1 pc_2 pc_3 Inst_R Teff log(g) log(R) [Fe/H] [a/Fe] log(Age) Mass log(L) Agewgt log(lk) log(vol) log(wt) h nc log(z) delta(log(z))
10 23.72120753118257 3.265723084780272 31.444155438418267 0.019600368001228552 759.9186241082965 -2.0102616319971585 0.1596604218247955 1.1195481649758443 1.7815309687898029 -0.07061302893237886 -0.05326430014288901 0.013603014973356968 20000.0 4892.749319532923 1.6411312967876979 1.4186392522770874 -2.004537995164385 0.165897451413148 9.599694416769585 1.098063050419978 2.5489726924957568 1.4632170888767066e-06 -191253.5561627811 -0.10945363938484903 -191258.96393378705 5.407770505495137 4 -191258.96393378705 198366.71586358047 
11 21.485367241215393 8.756024984771427 35.947599043626205 0.4942858378242004 350.9884108562584 -3.9205373369160377 -0.06702538006281628 0.7650022737768257 0.6094207201306776 0.13110530313016305 -0.034939819500788644 -0.01614867628857398 20000.0 6374.621500075437 4.588899508778541 -0.13380756483426573 -4.072974184794186 -0.028826310062043857 9.759217399655949 0.7648681374347747 -0.09631518987290372 0.0022366830879574614 -190418.3152756056 -0.11940397023801713 -190423.7329969424 5.417719674296677 2 -190423.7329969424 189821.04554261948 
12 1.5930480368702327 1.1678300647394235 59.04283253407229 0.3786644553056628 581.8390412798706 -3.5693446546003296 0.12912616827848428 1.0429345053317824 1.3855672405090727 -0.045354734247066014 -0.004086446947814348 -0.009681695042771929 20000.0 4816.475742722983 1.4489401699518378 1.501793056981389 -3.5715022107983856 0.13515285944101074 9.688844541534007 1.0344260534947414 2.687985950597371 5.194833385997459e-06 -186738.27909936677 -0.12935430109118523 -186743.7067710344 5.427674330101581 3 -186743.7067710344 188985.804655444 
13 22.116645410730364 1.145842390861096 28.856773131414265 0.18521665061564785 404.5696045919625 -1.5677985746580783 -0.12908015330134753 0.7803295351186766 0.7384746386034136 -0.0523540012393679 0.048076628353404954 0.01564350304000442 20000.0 6521.4938664547135 4.394382438672044 -0.032305139783792076 -1.7471962321301004 -0.08679472017500524 9.985309687527684 0.7800054553389011 0.14626040815123809 0.0005276238348023318 -186580.99358882534 -0.13930463194435333 -186586.43121082382 5.437623517791508 1 -186586.43121082382 185305.76847920514 
14 14.013530389428354 4.244469303918809 34.63504810501434 0.07836096398963233 686.2228855767519 -3.5549660336544804 0.3833695738242486 1.0097348002839222 0.9120848822688934 -0.005830737982154999 -0.06313735980942256 -0.006692892225657079 20000.0 7205.240598014448 2.8966801390627053 0.7687774944017093 -3.5594735567830007 0.38958640494311375 9.740561670856229 0.9918254556088982 1.92163126546166 4.23704855292675e-06 -180797.04246005494 -0.14925496279752143 -180802.4900323843 5.447572695935378 2 -180802.4900323843 185148.4829686637 
15 2.0600402054914326 6.40845694054724 36.121706360305566 0.02960828258545828 795.9467483575595 -0.25247092516492753 0.12570404592921164 0.9395249705977811 1.8248329958468406 -0.11572456282688902 0.060185814383699715 0.001329934763259287 20000.0 3754.7928875404236 0.7603695439135958 1.8135155147830264 -0.2548798880576576 0.13176176192521494 10.089642490236379 0.8905279771473231 2.8788573028162 1.7956544171372404e-07 -179679.10757320796 -0.15920529365068953 -179684.56509586817 5.457521925942274 1 -179684.56509586817 179364.53183989332 
16 -6.523296297224885 3.773106717946695 27.73703432916005 0.28517609155417734 639.7189974181797 -2.9072845178180455 0.03989514834632732 1.0750137364746335 0.9517659541441348 -0.165273277572916 0.003463975426839433 0.007890814270193988 20000.0 7048.4482236733675 2.903942874248597 0.7791396722998574 -2.9057232826994404 0.04599456298232712 9.645096090235418 1.0579414592168888 1.9041357271347392 8.227748755015114e-10 -176064.11469865 -0.16915562450385763 -176069.58217164106 5.467471194919199 1 -176069.58217164106 178246.59695304636 
17 17.48800883854988 3.3692215986371856 40.4099523584896 0.2700328078328341 416.2693567558881 -1.936439280744195 -0.19317912155469133 1.0576877092297785 0.8892339352222897 0.06195959221641867 -0.007120345442343523 0.01898990100584167 20000.0 8380.456244729474 4.307386383163427 0.07729576634864177 -2.238934464585899 -0.1337826168083932 9.571971654211321 1.0571835843351325 0.8011445114848121 0.00044912729565500825 -174247.68048244325 -0.17910595535702573 -174253.15790576514 5.477425550023327 3 -174253.15790576514 174631.6040784884 
18 -16.696626445602412 1.711893865012054 66.54500672410877 0.21192009400487888 638.1804146790241 -2.8763222151240235 -0.18893183610585754 0.9630140302007153 1.609187506698785 -0.07719523966066613 -0.03035831631393516 -0.0005867832539634306 20000.0 6397.912894652533 2.7201285377736193 0.8459761761002206 -2.88134300193166 -0.18283411120950097 9.802776188985236 0.9425735508498505 1.86958797137834 3.8743364195701917e-10 -174059.7563034727 -0.18905628621019382 -174065.24367712546 5.487374814081704 3 -174065.24367712546 172815.16986228162 
19 3.4537394903996415 0.5664130694813208 40.4577597855546 0.0994271061156789 640.8724444662766 -2.3598715472934466 0.40434889787582956 1.148973911426581 1.7262738851443002 0.20972035884730456 0.03082586245966243 0.012813347168786522 20000.0 5825.149016565006 2.5733794762616995 0.9590714651853925 -2.3531539467055254 0.4106473678842729 9.55147375450081 1.1314372124048075 1.932853416597057 9.72617292605182e-10 -173282.47041945986 -0.19900661706336192 -173287.96774344347 5.497324080235558 3 -173287.96774344347 172627.24568331108 
20 -3.0302544692375974 2.7977041642024822 74.90273193191219 0.27850761671624513 472.56011569909697 -3.6972723201553936 0.42078828611596414 1.2221269378830661 1.5472932001189958 -0.11671354128912138 -0.06378689197539794 0.028773647571887703 20000.0 8164.377478027487 3.665586976110297 0.42950443822353396 -3.877467549253432 0.45647661670489437 9.451234945433557 1.2212260929178285 1.4601835075780791 2.447140887041275e-05 -172550.8679720831 -0.20895694791653002 -172556.37524639757 5.507273355528014 1 -172556.37524639757 171849.95979929823 
21 9.031941114444919 8.085896602305038 61.73090499395389 0.20763128903443018 534.1119205146559 -1.1729036981203924 0.20620056166886952 0.932782172731656 0.8960017028030629 0.20550793668622153 0.04059160537971615 -0.02580941408169083 20000.0 4858.335097170187 2.1936266817261503 1.1062711835027559 -1.1735947007705056 0.21235342725649548 9.896678548139132 0.9297689187097352 1.9119745596349162 1.3217885457563786e-05 -172371.96430385514 -0.21890727876969812 -172377.48152850047 5.517222633323399 1 -172377.48152850047 171118.3573519215 
22 -5.638925015416735 3.3277932740516136 88.05437054773083 0.10062287258491309 591.3089014208281 -3.01193213140226 0.5125264886551133 1.1507082421003645 1.134893600631649 0.0796710768320179 0.053729705946510165 0.029331236351113413 20000.0 4691.56677001876 1.2597107474085463 1.6177058262369886 -3.0065988673693087 0.5187879571999184 9.547634174583427 1.1408738380384618 2.874165585774873 5.483436553496392e-06 -172145.40689240466 -0.22885760962286622 -172150.93406738082 5.527176924195373 3 -172150.93406738082 170939.45368369354 
23 22.592636452910355 1.7849535205145872 17.00571845002394 0.2758605600368795 425.81484518679883 -3.5199431653986966 0.48985076149848855 1.2212107747859375 1.2336854029309987 0.2137356378537219 0.013755023486233059 0.017731168718674216 20000.0 10092.866635345497 4.319624950981728 0.1023728485430981 -3.711535323558461 0.5274411846998946 9.406817659816559 1.2205904244639316 1.1742861627041838 0.00035960214006935546 -171535.24029218985 -0.23880794047603432 -171540.77741749687 5.53712619934231 3 -171540.77741749687 170712.89627224303 
24 14.018878029182986 8.548702044250593 24.379085981982776 0.44365543927791506 558.2278374945827 -2.534922035967221 0.3639652594536545 1.2448254927265088 1.2337690453037946 0.20451032554866772 0.05271617769354056 0.028723382243269625 20000.0 5008.33219473239 1.9457819417868696 1.2930064658017886 -2.5260905162667546 0.37037400617004446 9.435154638576813 1.2414333517018605 2.338267767586472 2.4052557286917215e-05 -170616.46289523327 -0.24875827132920242 -170622.00997087115 5.547075482114451 2 -170622.00997087115 170102.72967202822 
25 -18.71718850059473 7.2007980801109746 30.419119859157437 0.031496585277477784 567.3654397207738 -2.3292339595193963 0.016294982996621687 0.871516766690712 1.8307191163197862 0.17177334218328888 -0.0690620651655281 -0.016240132692468358 20000.0 4794.2631471443765 1.5112443613453916 1.4314103586297837 -2.339062121754367 0.022876180368573078 9.948848472126038 0.8636817323319838 2.539190515849306 3.786076988416507e-06 -168806.87403206978 -0.2587086021823705 -168812.43105803852 5.557024782319786 3 -168812.43105803852 169183.95227507164 
26 24.350149617221703 1.6421503397738013 8.741089747553142 0.4372824972999967 740.6751247136506 -3.8252608335123854 -0.02057095504281997 0.7860556958870333 0.7705917525264041 0.19835081468158527 0.025311472000886306 0.020915719234692952 20000.0 5279.030973099285 2.042772159875611 1.1400042984276404 -3.8077185533067226 -0.00446188652646625 10.09397460163149 0.7673786528542546 2.123707764343815 5.483266544109885e-07 -167561.39347170608 -0.2686589330355386 -167566.96044800567 5.566974097280763 5 -167566.96044800567 167374.36341190818 
27 -17.934349571212778 4.710800035255319 18.96347229513076 0.050427620287244734 306.3679133356599 -1.1086619850117772 -0.12275022417298881 0.6304201545874702 1.216503035300538 0.1388819522302407 -0.05581284023515432 -0.02755380964018292 20000.0 5032.771877420469 4.73455446725632 -0.22502757091574516 -1.1304394216029476 -0.11141642985605482 9.381767913367197 0.6304024945617761 -0.6893438331623329 0.0022784359256933194 -160818.78029214544 -0.2786092638887067 -160824.35721877587 5.576928213908104 2 -160824.35721877587 166128.88285154448 
28 -17.68441343946946 5.613592613618589 63.52180460989827 0.1628918029013512 488.33999992696437 -2.0706816436344737 0.5725264294586658 1.1214633433475325 1.0802799508199654 -0.12857872962996694 0.042949557218179016 -0.0015516924244145872 20000.0 5723.5636034510235 3.294762232361909 0.5963634327543141 -2.106105020636002 0.583239901415562 9.572409968208468 1.120550357636931 1.1768752458277272 6.846357446335065e-05 -159269.09506995062 -0.2885595947418748 -159274.6819469119 5.58687755552819 1 -159274.6819469119 159386.2696719838 
29 1.8572217098487123 5.767858679022989 39.67969157424894 0.48916654588045955 691.8168566389324 -3.384699264051291 -0.09518266734844874 1.0290442178944879 1.849020802563139 -0.21433082921684932 0.009883735713584307 0.02180701726087121 20000.0 6920.847084174042 2.8081034763794923 0.8171773310806305 -3.3887245910554475 -0.0889628378103477 9.71469438297964 1.010896831752445 1.9484740037696318 4.950841072896757e-06 -159249.04553909722 -0.2985099255950429 -159254.64236638742 5.5968246480915695 1 -159254.64236638544 157836.584449789 
30 -3.5156716366754672 5.755921809514438 22.52669306918321 0.375562724839537 535.2919114938506 -1.2419961034366578 -0.14363871588858546 1.0563838104338037 0.6161814439516223 0.061485552395680765 -0.001984764789087573 0.00048355484331759693 20000.0 5013.083258577348 2.1928550109302813 1.133892319733787 -1.2370550906430386 -0.13748118894193748 9.687206961455152 1.0538076150719557 2.021686636752373 2.4109912323732147e-05 -158327.82980908736 -0.308460256448211 -158333.43658671036 5.6067762773891445 1 -158333.43658671036 157816.53491893166 
31 -21.49909151222973 1.5704047440405777 30.436020660104525 0.46180173452420337 668.5878256589695 -0.8275289573755087 -0.04295759200424154 0.8192111878929361 1.0045134890041083 0.13946809087752154 -0.0585909401497095 0.019195943200986797 20000.0 5339.716892172388 2.4435188163945174 0.9422856836139915 -0.8389684919048624 -0.035848574998689486 10.1228078639138 0.7769158765264867 1.7481266209937547 4.232385755166481e-05 -157667.32577310756 -0.3184105873013791 -157672.9425010614 5.616730238543823 3 -157672.9425010614 156895.31918892576 
32 7.953656405496183 3.493982983121363 85.79077170165456 0.35280749198079414 630.804645460745 -0.6928750270634123 0.5131871334179272 1.0783202622603862 0.791534349666007 0.007579300165547004 0.031221137879976518 0.0032809012816580607 20000.0 4693.882858297537 2.3372104493674155 1.058584869379726 -0.6867526150275167 0.5193828502139053 9.821739818088675 1.038809992027892 1.7567810540030981 1.7808199724781173e-06 -157286.15794576867 -0.3283609181545472 -157291.78462405337 5.62667960204999 1 -157291.78462405337 156234.81515294593 
33 22.660217306564277 9.800299231710694 99.27907270190694 0.0026482697011436795 503.53161594262446 -1.142704428396819 0.5671659444318171 1.1599764788795746 0.8700359040286076 0.08938959675152713 -0.055654019723572395 -0.004623534640470366 20000.0 4954.931719429488 2.8824972301969503 0.8100071383751732 -1.1356478641268901 0.5735110657155351 9.60437953183765 1.1587500720019774 1.3536473004184135 7.258386426307213e-05 -157214.15891133822 -0.3383112490077153 -157219.79553995378 5.636628970911261 2 -157219.79553995378 155853.64732560705 
34 -11.483106801632974 4.585540943211801 26.249620593267295 0.24485003275791162 777.2708740082677 -1.4890916741112323 0.11718672875896347 1.2252415248291468 1.4491778546194565 0.20503685451917092 0.03182004041465597 0.019597580013377032 20000.0 4673.152471411551 1.4118196120868856 1.5532177893370145 -1.4803536667683068 0.12359059440918065 9.488222136509556 1.2035419046128903 2.7383577098681062 1.33257374510191e-06 -156635.22680660326 -0.3482615798608834 -156640.87338554967 5.646578342653811 4 -156640.87338554967 155781.6482911766 
35 -0.750312916304523 2.49463895939721 95.23049399200079 0.45618183310885485 729.4007256811256 -2.1536294428622105 -0.02711993686583075 1.0036970594472718 0.869938169021052 0.10379861335783125 -0.019381228766269902 -0.02724311551498319 20000.0 5147.164360006582 2.02078911575766 1.2042382756362644 -2.1533627261075887 -0.021065838852644198 9.750009662407932 0.9803882968059446 2.2082310240737786 2.3352657494695545e-06 -155383.56930880688 -0.3582119107140515 -155389.22583808415 5.656527728249785 1 -155389.22583808415 155202.71618644166 
36 -1.512597193500703 0.8658342913340844 98.12343771190737 0.41464501503757384 730.9636225252705 -2.8540466568905347 0.07424905373326107 1.047211152197229 1.950402503924404 0.2106887277722026 0.053763239142757935 0.01686822472831488 20000.0 5183.515806299787 2.0425489408414252 1.2036040450794538 -2.8537480822777477 0.08030435575339714 9.689081445607693 1.0277290818176263 2.2191881259930377 2.525365487604364e-06 -155127.160489298 -0.3681622415672196 -155132.8269689061 5.666481627849862 1 -155132.8269689061 153951.05868864528 
37 -17.937345580967694 3.297579530513246 29.14871423084822 0.11689440977003007 524.5008582664657 -3.779073256371426 0.5601820720609205 0.8201087510419741 1.8382489786892187 -0.06940182667735345 -0.048003623434896406 -0.003126167268386996 20000.0 5251.6787970294545 2.4040497414379756 0.9731073787753929 -3.8008627815275453 0.568229800404304 10.037203797991227 0.8175210104802118 1.780889708356778 1.3400529554312976e-05 -153794.80429154995 -0.3781125724203877 -153800.48072148892 5.676431000872981 2 -153800.48072148892 153694.64986913637 
38 8.053608648167412 8.786528797040775 15.515712510612982 0.47991086424186213 741.1636130033442 -3.3283896015448393 -0.08679937014223836 1.0637446252346803 1.1158081497706647 0.02074828150624905 0.049719212960978906 0.024760370858338786 20000.0 5144.62819879698 1.9764997123226833 1.2405039456995355 -3.3294102582623073 -0.08075690685299936 9.66863777854817 1.0464206421512179 2.2799061939387864 2.036349913135293e-06 -153709.782476679 -0.3880629032735558 -153715.46885694884 5.686380391183775 2 -153715.46885694884 152362.29367138832 
39 -15.756158119928243 8.21487378491682 56.17665189076547 0.34983718217573484 696.6153981584803 -0.9951279258816719 0.5945643056784289 1.0671236969448423 1.1137444679264779 -0.16334914630259223 -0.010740024666851714 0.0036310909336564404 20000.0 4628.068027406321 2.0571866737652975 1.1961809502287124 -0.9889337676216355 0.600750530807131 9.780811448684982 1.0274345511106373 2.0074431634247354 1.1100939176571422e-06 -153176.57225900132 -0.3980132341267239 -153182.268589602 5.696329785045236 8 -153182.268589602 152277.2718565174 
40 -19.622600640655257 8.01322110387483 89.09261288645139 0.12819235827860792 475.13970074530187 -2.719298988550338 0.3621244136148842 1.0717128604284254 1.8542607748209532 -0.03260556534619738 -0.06117515691584713 -0.019082043932659533 20000.0 6762.519597320901 3.5366584316660736 0.46541839331957446 -3.0152968062302823 0.42207990482170055 9.630672624459987 1.0708331389109307 1.2047532604229327 3.256195459313014e-05 -149758.28590204217 -0.407963564979892 -149763.9921829737 5.706279218342388 2 -149763.9921829737 151744.06163883972 
41 0.9995194762037904 5.9985209788642955 58.39115257223077 0.4283155646835819 435.02393902815913 -2.4585321616277493 0.4774231008954258 1.2050482545530303 1.1919787536358686 -0.1787961334304612 -0.0017449422724420682 0.01532574938375636 20000.0 9452.5487588091 4.2463036939376195 0.13616529944475833 -2.6772456835435943 0.5193124514048217 9.428857252420523 1.2044206327568558 1.1280086309803699 0.0002750484277869724 -149729.14495491495 -0.4179138958330601 -149734.86118617732 5.716232925100485 13 -149734.86118617732 148325.77528188057 
42 13.338914942642582 0.7408919796080815 86.9001967725033 0.1016360409823251 508.4846650041902 -2.269495818177848 0.35228667729924373 0.7957118652573119 1.0691196965302805 0.10774032471403416 0.05713350372777731 0.00015542674052504077 20000.0 5256.280409951558 2.7308270447014276 0.8035653323380558 -2.288237977692346 0.360222050375907 10.083525249909037 0.7941065648826964 1.4433270947252637 2.2798941948103255e-05 -149684.02033805018 -0.4278642266862282 -149689.7465196434 5.72618240659358 4 -149689.7465196434 148296.63433475333 
43 12.326359966286354 9.344219978504412 66.70774564017097 0.41546174761581467 366.50836718833284 -2.231822050366971 0.4435630096759167 1.0051634327252779 1.6220208364186763 -0.1495251353941336 -0.07005866125015413 -0.012705961816982046 20000.0 7558.551794759569 4.42337984649989 0.00829346572197321 -2.4845294079376448 0.49281435525686823 9.475667326537017 1.0049071085562895 0.48382363218724733 0.0005810059886442205 -149406.30204898422 -0.4378145575393963 -149412.0381809083 5.736131822428433 2 -149412.0381809083 148251.50971788855 
44 -19.5729860838728 8.716655575873663 30.685325936809 0.07926125992330729 375.5428548471949 -0.5372884657543482 0.3424612578074642 0.8558476248810848 0.7916592424720663 0.19475615668926416 0.045911644689342376 0.025040197699648402 20000.0 5742.960654914061 4.452414148265369 -0.03936118621125867 -0.6268329818547684 0.3627732006167548 9.888457827255857 0.8556575740477466 -0.08869668158722394 0.0006255819101789265 -148650.7040733628 -0.4477648883925644 -148656.45015561776 5.746081244782545 1 -148656.45015561776 147973.7914288226 
45 -7.878082018124683 2.0295605497632097 50.142387929246894 0.1261425976480583 735.0379053388538 -3.418785810146282 0.16580614470253519 0.9969124919942449 0.5392163559168263 0.11445272344005897 0.07493299778801493 0.0013502337025480537 20000.0 5194.389169534058 2.0349991342658935 1.1964561658857924 -3.4231987218419198 0.171830690266294 9.759328721751752 0.9773278866568241 2.2085325962579043 1.7305419332001335e-06 -147782.57460494593 -0.4577152192457325 -147788.33063753173 5.756030677817762 1 -147788.33063753173 147218.1934532012 
46 18.45062914217268 5.066092511479814 48.19116169767943 0.31531055627998145 361.28328748272463 -3.5776565436333816 0.4037775629654254 1.2094045111537992 0.7309033072588953 -0.001935804271473468 0.06625396781375237 -0.021941423911096193 20000.0 9272.22722741029 4.508990367388295 0.005659622098832368 -3.7302446893767542 0.4346004686485313 9.211055912606854 1.209138356788678 0.8335378353325308 0.000605538063473598 -147712.0063905783 -0.4676655500989006 -147717.77237349492 5.765984405297786 4 -147717.77237349492 146350.06398478433 
47 -23.13173291111662 5.51659904295275 53.002934086549 0.06448182834329208 301.7556159564458 -0.10894101994102057 -0.18841324631777454 0.7499696345936152 1.1042613336530613 0.11210307373197509 -0.000757169663809551 -0.0011859628924945076 20000.0 4919.958592135319 4.653066797848361 -0.14333161299177333 -0.12469189493131658 -0.17918715490588782 9.267167599149348 0.749951266931258 -0.5653351083744922 0.0021813359680021745 -147172.63737382734 -0.4776158809520687 -147178.41330707484 5.775933830882423 5 -147178.41330707484 146279.49577041666 
48 -10.127579754932302 1.0091695587009641 50.74186660440616 0.323878519856591 344.8093654350728 -3.3177052896534396 0.5833768387460807 1.0807783735763503 1.860677565466588 -0.0699052345910613 0.0544319944419851 0.013704952074088922 20000.0 8100.504864126214 4.5168791517729945 -0.02271464781798284 -3.4716616654901125 0.6150009415045731 9.210479259899355 1.0806158002768276 0.542101379996244 0.0022309923250444065 -146453.58273147247 -0.4875662118052368 -146459.36861505083 5.785883263306459 3 -146459.36861505083 145740.1267536657 
49 -6.560454512974069 7.500244850508749 47.294909914165224 0.3311082220655322 322.0860661916465 -1.1564083199988775 -0.011376019898668155 0.9490753878692834 1.4029157005821724 -0.10018744608549555 0.06935257048216936 -0.022933460482788326 20000.0 6741.58471073666 4.522857170950357 -0.05385292881086738 -1.2568546557874924 0.010244072861399032 9.078396842780224 0.949015450139968 0.16082445337837067 0.0022145253648415174 -146435.47122720204 -0.4975165426584049 -146441.26706109763 5.795832822594093 4 -146441.26706108387 145021.07211131084 
50 -6.510774080818603 5.822312328089626 81.18717096373841 0.2807354375832443 481.9359582048034 -3.255577941099674 0.1754504418555891 1.1473058349173393 0.9537174722235371 0.21422002375420607 0.037440603058973856 0.026282274840284593 20000.0 6925.71842272472 3.4370320709806177 0.5300828487503443 -3.5078763911934345 0.22532114551734506 9.538465892399556 1.1463838292589599 1.3755073468579515 1.700097067325911e-05 -146104.37482367535 -0.5074668735115729 -146110.18060791542 5.805782138893846 3 -146110.18060791542 145002.96060701305 
51 0.7391876360242371 3.9888061384157227 25.011545478757633 0.03608845574938835 609.1178008412461 -1.288040085883174 0.34271449999372644 1.218675009882372 1.741098484692869 0.15854016005714205 0.0006174247321232146 0.029178760124460162 20000.0 4138.695686875532 0.8909240311283607 1.8123160876680886 -1.2791549028705362 0.3491293703633543 9.50442203685062 1.1960781439797563 3.0455684802065233 5.912177354071301e-09 -145379.10074202507 -0.517417204364741 -145384.91647659597 5.815735822339775 2 -145384.91647659597 144671.86420351375 
52 -18.455720053205695 8.986866746064774 78.17288837931686 0.16194821622915045 459.6519759586023 -1.7084685189643167 -0.0583860309299242 0.9936978698307782 0.5160067865815781 0.08329479458731825 0.003307942534664432 -0.009153415246326669 20000.0 6943.313023140864 3.802678853041903 0.31602662462384645 -2.0721468420372915 0.016162212217282562 9.736689037792084 0.9928988382691899 0.9518025557661006 0.0001089064969929364 -144756.89145720878 -0.5273675352179091 -144762.71714211054 5.82568526265095 2 -144762.71714211054 143946.59012186344 
53 20.302778745340404 5.62747235963696 23.047692552244403 0.49547004468533146 565.1881384087877 -0.6428666360284692 -0.07204242182147605 1.1794521466215828 1.7336323608524544 0.1148299483254217 0.0012917113935738411 0.006315870852535516 20000.0 4443.1190251445005 1.5165099472133643 1.4954276659267087 -0.6350318631342396 -0.06566204861591296 9.604647660042604 1.1737316812107963 2.535089449180229 8.69675638866738e-06 -144070.24435151526 -0.5373178660710772 -144076.07998674788 5.835634710820159 4 -144076.07998674788 143324.38083704715 
