Iter Vrad Vrot Dist Av EEP initial_[Fe/H] initial_[a/Fe] initial_Mass pc_0 pc_1 pc_2 pc_3 Inst_R Teff log(g) log(R) [Fe/H] [a/Fe] log(Age) Mass log(L) Agewgt log(lk) log(vol) log(wt) h nc log(z) delta(log(z))
0 15.217356617025452 2.482583575729227 93.59433387579256 0.3273007533119343 305.6710695162357 -0.8356250934192757 0.3964980306630232 0.8078834635163075 1.6339082422074191 0.12066371319084099 -0.0056910425769853105 0.007218745483382257 32000.0 5599.62714380593 4.60950741067575 -0.12702472072232585 -0.8532712076734763 0.4058833969688067 9.138955107409807 0.8078588798466806 -0.3079306740241175 0.002192948675047435 -1e+300 -0.009950330853168092 -1e+300 -9.900990099009874e+297 1 -1e+300 1e+300 
1 23.13103438432355 0.8137268418600685 56.579317946181405 0.08542972914113472 493.0992284484215 -1.763626180006208 -0.14739861586609992 1.0623639993694551 1.273656080628074 -0.11126435715701864 -0.03482269247275435 -0.016469609424089017 32000.0 5524.7360145827615 3.160262075549387 0.6520032469829367 -1.7792051719424364 -0.14104354184768306 9.650710278484599 1.0613667853153912 1.2267349458564285 6.170293824545926e-05 -1e+300 -0.019900661706336184 -1e+300 -1.9703950593079111e+298 1 -1e+300 1e+300 
2 -1.7327597923896647 0.36689860204778824 45.62345199211723 0.4008319261698768 274.5557275301228 -0.6348256837864299 0.22186891719122814 0.5847230357458787 0.7762422157674844 -0.07439275576358889 0.02648014990281214 -0.007581551437749634 32000.0 4133.671839436171 4.716605124195591 -0.21372983093506756 -0.6437757220666747 0.23019290614477225 9.114508584152073 0.5847174253705414 -1.0086333497989537 0.002226225045485448 -1e+300 -0.029850992559504276 -1e+300 -2.9409852072355594e+298 3 -1e+300 1e+300 
3 -9.6094693651672 9.124083313677103 53.75047321074127 0.22069013118190983 805.6544051797011 -3.685087569778384 0.07779270036086017 0.8951804023934162 1.9978864321757086 -0.05979775936719507 0.009663543551981785 -0.011355514942818848 32000.0 4702.770960728136 1.1584969659022915 1.6100202661679273 -3.6984259930584065 0.08438327858835734 9.915085495593871 0.8724014026018172 2.862938170618084 3.421991186117986e-07 -1e+300 -0.03980132341267237 -1e+300 -3.9019655517183706e+298 1 -1e+300 1e+300 
4 -2.936006595890966 3.885450130370929 92.99618924725624 0.19947598108543624 341.71959355333917 -2.745206723379801 -0.04201285209885092 1.1011728955249322 1.74069042802528 0.1319337569738738 0.045501402883765196 0.011511530401175666 32000.0 8211.896803757789 4.528958966941427 -0.02464089526590593 -2.8781296474286275 -0.013899009222185872 9.143555073092976 1.1010265529392513 0.5619744689430468 0.0022266022459516894 -1e+300 -0.04975165426584046 -1e+300 -4.8534312393251255e+298 2 -1e+300 1e+300 
5 0.15992766881792164 3.908452479372734 77.53938178154019 0.18003022660585227 709.8078192027382 -3.1748119756682907 0.3298144643846915 1.1889775934601017 1.2759366152439455 -0.07204672807962982 -0.01721608037369492 -0.00829925788950651 32000.0 5098.159844171275 2.0301503062573105 1.237995721915447 -3.1515452310061316 0.3618127809465111 9.516999327445525 1.1703455296842895 2.2591275625855642 4.2410569337526926e-07 -1e+300 -0.05970198511900855 -1e+300 -5.795476474579334e+298 1 -1e+300 1e+300 
6 -16.756572542069918 5.2652131657526535 57.65189881307239 0.17181337530411128 316.93657409918535 -3.833347030124682 -0.039959797564513094 0.8426875125774997 1.0523317858122194 0.06733911038856498 0.03798496606541522 -0.003794995089645597 32000.0 6590.0615962459 4.626365651171618 -0.13146434591081665 -3.9128493576587164 -0.016463865698392734 9.113902846681938 0.8426472960109181 -0.03388846915225443 0.002232381689012809 -1e+300 -0.06965231597217664 -1e+300 -6.728194529286473e+298 1 -1e+300 1e+300 
7 14.062768642319092 7.827283914372974 17.280803911508738 0.18168813942541812 453.69028886332717 -1.4293523394763317 0.3687850065362361 0.8644157326568652 0.5638902767974818 -0.03244658116411693 -0.01706968877473806 -0.0013391395689939848 32000.0 6351.10277700757 3.93300851202051 0.22055542758077248 -1.6939606345375036 0.42554056774045224 9.965835749904596 0.8637275967756864 0.6059897454003351 0.00017802276351318804 -1e+300 -0.07960264682534474 -1e+300 -7.651677751768779e+298 1 -1e+300 1e+300 
8 17.241799951123745 8.363346289450382 67.26933374952785 0.12883460123582463 421.4063768461829 -3.0608649640245376 0.022783939397004543 1.012230713927445 0.5130735496541474 -0.07587912522480839 0.03955969617660935 0.017146284456100575 32000.0 8385.399292230784 4.259379998850992 0.0917222573512351 -3.413925877671727 0.09525635514422635 9.659955350348234 1.0116529567630874 0.831021831704567 0.00040991548827263517 -1e+300 -0.08955297767851284 -1e+300 -8.566017576008692e+298 1 -1e+300 1e+300 
9 -0.3759116339840496 8.380195480429071 89.47052249007487 0.12091020538098612 366.0216013887108 -0.9927306186053255 0.5276682244632058 0.8228454124187847 0.9034241869666173 0.061893882216427595 -0.02560547298721863 0.0006259729468616079 32000.0 5937.873278992762 4.486478475113645 -0.0666412572407002 -1.0853412547452728 0.549437307661991 9.833540865307487 0.822676435967863 -0.08527648731484347 0.0006386281542756474 -1e+300 -0.09950330853168093 -1e+300 -9.47130453070168e+298 4 -1e+300 1e+300 
10 17.173691317195868 4.367836111529943 16.796889306106632 0.43391724632874795 423.0273392190394 -1.4289647518136994 -0.015460346753660759 0.8996666804885611 1.1100598856834398 0.033032039314509105 0.050329107794607614 -0.0033935384903281927 32000.0 6933.016305528109 4.207234502927418 0.09224680192284002 -1.895130081247777 0.08808651468970678 9.831616169380286 0.8991732205805659 0.5016648173507157 0.00044304643049465246 -1e+300 -0.10945363938484903 -1e+300 -1.0367628248219486e+299 1 -1e+300 1e+300 
11 -22.477268748673374 3.4555002773552204 35.533933717933195 0.4346105381330959 599.6205183348211 -0.5274990251902407 -0.19360935410113608 1.2156648860400536 1.565195427698117 0.005729968325750041 0.08692929862872761 -0.005632834853887666 32000.0 3938.4641730965714 0.6246602667634971 1.9454185745381676 -0.5195406878974776 -0.18719672515868413 9.570631642222349 1.1958895786649353 3.2256270729323657 3.0434148711067873e-06 -1e+300 -0.11940397023801713 -1e+300 -1.1255077473484646e+299 2 -1e+300 1e+300 
12 13.128134704746678 3.6772851388938363 11.909249817009657 0.4072148397026486 396.38598963289184 -0.0706630840612168 0.22243153278197536 1.0892784304152527 1.0107087534407304 -0.12519281675646413 0.018027218784804816 -0.01725800635437806 32000.0 6042.6823021075725 4.286657384949811 0.0941083889783767 -0.17362865587415688 0.24116104805407185 9.684196545877517 1.0890000163159408 0.26661815120396914 0.0006225890043645279 -1e+300 -0.12935430109118523 -1e+300 -1.2133740072757078e+299 4 -1e+300 1e+300 
13 -11.758234011601921 2.5437015920253203 86.91567547136604 0.031122838037164813 705.3153567394531 -3.474780041524848 0.23223812578303277 1.073443864843496 1.0361012510868242 -0.010222851936499106 -0.0014410612829228607 0.002794257621825899 32000.0 5628.314047742212 2.3788848890392047 1.041374618446707 -3.4753464667894285 0.23833270281862726 9.655532599559761 1.056480350679379 2.0377448525118527 1.2301645146097813e-06 -1e+300 -0.13930463194435333 -1e+300 -1.300370304233374e+299 3 -1e+300 1e+300 
14 20.28278028149562 6.243951842665753 56.417455660915785 0.2691496340278026 690.3069232955229 -0.7764656711422528 -0.14868213100431832 1.1792633472225178 0.572943625318518 0.09640698714147684 -0.0063935216953134345 -0.01839615518179107 32000.0 5156.831777376235 2.3189627128670494 1.0903226520385227 -0.7684670871989147 -0.14229848050410607 9.587560650820521 1.1528305083049433 1.9836594886979335 7.53007917355431e-06 -1e+300 -0.14925496279752143 -1e+300 -1.3865052517162115e+299 1 -1e+300 1e+300 
15 -9.473639272791157 8.550473187339842 59.42681868119384 0.3052099728070043 394.4533379163564 -3.938100492942703 -0.14488439069573628 0.8626109761301582 0.7054437398642133 -0.017907755702144878 0.00865510143730303 -0.003488257487960545 32000.0 7072.89944454653 4.371078009820432 0.0011568225976802625 -4.437074352467679 -0.007947720996419437 9.814536879751339 0.8622582071494589 0.3541859073265254 0.0006450617665861327 -1e+300 -0.15920529365068953 -1e+300 -1.4717873779368436e+299 1 -1e+300 1e+300 
